enojo	Todos descansando y yo aqu√≠ trabajando como esclava un 24 de diciembre      lo bueno que salgo a la 1   Ô∏è
no sabe	Mi duda es ¿que le conocen a Taehui?   
no sabe	Fin de año nivel me quedo dormida en el bondi y me bajo 80 paradas después.  Muy bien por suerte, poco estrés y cansancio  
sorpresa	"RÉCORD:   _ ""El Ómicron es el virus que se ha propagado más rápido que cualquier otro virus en la historia""     Bill Gates"
no sabe	Por fa, me podrían explicar como personas que huyeron del socialismo, celebran el triunfo del socialismo en el país que llegaron de inmigrante ? Soy un ignorante en el tema   
alegría	Buen día para todo el mundo mundial Happy Wednesday 🇮🇨🇨🇱  
alegría	NO ME LO PUEDO CREER! ¡ME HA TOCADO! ¡ME HA TOCADO! ¡ME HA TOCADO LA SUERTE TENER LAS TETAS MÁS GRANDES DE ESTA APLICACIÓN!     
sorpresa	Pregunta sería gente!  Empanadas Don Ramon? Referencias?  Los leo   
tristeza	Pedi un kebab y no me dijo amigo el repartidor Sadge 
no sabe	PD. Estoy en la cola de Zara después de haber superado los pasos anteriores   
no sabe	Killian    yo.  Ser productivos y contestar roles ahora.
no sabe	tome muchas malas decisiones este año, pero las anécdotas
no sabe	Porqué el Gordo sólo le ha tocado a gordos??      
sorpresa	Una pareja decide suicidarse saltando de un edificio. Cuando llegaron a la cima, ambos contaron hasta 3. La mujer saltó pero el hombre se quedó ahí. El la observó caer durante 8 segundos y luego la vio sacar un paracaídas. ¿Quién traicionó a quién?   
tristeza	Hace como 4 dias que no como bien y hace como una semana que no duermo nada. Asi estoy   _️
disgusto	nos ha hablado por megafonía el conductor del tranvía    no somos dignos
desagrado	"Fui al centro a comprar el ""cosito"" que engancha las varillas de la carpa, me falta solo uno, no venden, venden la varilla completa. 730 mangos. I en pedo. Mi tía tiene que comprar todas las varillas de la carpa   "
sorpresa	¿Quién me entiende? Ahora estoy feliz   
ira	ME HA TOCADO!!!  seguir madrugando y cagándome en mi puta vida   
desagrado	Gente con temas artísticos: Tenéis que pagar a los artistas, su tiempo vale dinero      Gente cuándo no les va el ordenadormóvil: Oyee tú eres informático no?? Podrías ayudarme? (Obviamente sin pagarte somos amiwis jeje)
no sabe	hace 11 años lo llamaba por su cumpleaños        ahora están juntitos durmiendo   ️
no sabe	Ferran  .....  
sorpresa	Y todos estos comediantes expertos en deportes que han salido en las redes?!     
miedo	Hablar de nosotros eso es haram
no sabe	Hay un chico en el gym con los pantalones del revés con muchas etiquetas colgando, le aviso o le dejo darse cuenta en su casa ?   
desagrado	"La experiencia de Dana Miró para alcaldesa de Guaynabo ...""camino con el alcalde, trabajo en wic , su papa es pnp de clavo pasao "" tremendo   "
ira	ay que bronca la puta madre  
desagrado	Cómo está costando este día 
tristeza	Ahuevo quieren sacar a Gertz Manero   
alegría	Arriba jaja pense que me habian dado vacaciones me voy a santa maria 
desagrado	De vacaciones y levantándome temprano   
no sabe	Vaya por dios, otro año sin ser rica.   
ira	A mi no me pongas “mismo manejo” mándame alv mejor...   
confianza	Será que enamoro a alguien en 2 días para pasar navidad juntos ?     
no sabe	Me apetece un bocata de salchichas a la brasa  
desagrado	Muy temprano para deprimirme, mejor me duermo jaja 
tristeza	Cual fue el momento de quiebre donde todo se vino abajo? Y yo acostumbrándome a eso   
anticipación	Volver a bari con los viejos es hermoso, pero a cambio tengo que entregar mi salud mental   
no sabe	Que ganas de estar con los de siempre fumando porro y tomando birra   
alegría	Me autoregale para navidad una gorra Snap new era de la NBA. Me salió un ojo de la cara, pero si doy vueltas no me la compro más. Estaba entre la de Golden state, los raptors o la de Denver. Mi corazón fue por Campazzo   🏀
no sabe	Llegué media hora antes al trabajo   
tristeza	Mal ahí re extraño a mis amigas, cuando éramos todas desempleadas estábamos mas juntas q hago renunciooooo    
no sabe	De cr quente logo cedo   
sorpresa	Ayuda no puedo salir del subsuelo de Pokémon Perla es taaan adictivo     
alegría	"Que pedo mi sobrina diciendo ""awuaaaa"" a los 3 meses   "
desagrado	Los zurdos deben estar nadando en un lago de baba. Boric piensa en la reforma de la Constitución, y entre los integrantes de la Convención Constituyente hay una MUJER Mapuche.    .
no sabe	 ¿No me hará daño acabar el año así ?   ¿así cómo?    sin unas Nike dunk x off white   sin unas Yeezy 500 desert 
disgusto	ya no puedo fantasmear a las personas.  
no sabe	años defendiendo el spiderman de andrew para q ahora sea el favorito de todos     os odio
tristeza	Pues nada, no soy millonaria   
tristeza	Odio eterno al calor asqueroso.  
no sabe	Esta noche buena me la voy a pasar jugando al animal crossing 
tristeza	Hoy en día nadie es confiable  felices fiestas para todos   ️  ️  ️
desagrado	Hoy la V hace la fiesta en el freezer  ⚪
no sabe	Casi adoptó un perrito pero encontré su dueño y quedó en buenas manos   ️  
desagrado	Tengo que lidiar con eta muchacha y también su playlist de Demi Lovato? PUES MIRE QUE NO que yo no soy tan generosa ni buena gente   
tristeza	No me digas que El Gordo no ha caído en Doña Manolita       
no sabe	Dice AMLO que Gertz Manero se queda, ¿Ya les quedó claro?      
desagrado	Arrancamos la época de desayunar sambuchitos, almorzar sambuchitos , merendar y por supu cenar sambuchitos   
sorpresa	Mi hermano ya paso a secundaria en que momento creció tantoo     
tristeza	Como me miro el drama si ni las páginas que los transmiten ilegalmente me funcionan   
desagrado	Grave error   Jamás me había metido en ese tipo de charlas de audio, hoy lo hice, pero no caeré otra vez   Flojerita…. Descansen   ️
alegría	Buenos Días   Feliz Miércoles    ️
no sabe	se acuerdan que ale tiene un tiktok que la AriGameplays le dio like y ahora JuanSGuarnizo sabe quien es ana y ale amiga en los streams The Circle Of Life     ️
disgusto	Los cajeros de san gui o no funcionan o no tienen dinero nunca durante la semana   
anticipación	Mañana me toca la tercera dosis!   . Cómo les ha ido a ustedes…?
desagrado	Estoy de vacaciones y me hacen madrugar   
desagrado	Tremenda siesta me voy a echar, me cago en Dios     
no sabe	pq se puso este sábado   
alegría	Hacia tiempo no dormia desnudo y buaah que bien dormí     ️
disgusto	Un 25 de mierda   
confianza	Mientras haya salud...  
desagrado	Este mes está como que muy largo, no veo la hora de que se acabe ya   
tristeza	Todas mis ex parejas siempre confiaba con la demás gente, pero no el amor de su vida (Como voy a creer en con el amor   ).
desagrado	En mamada #43821 que ocurre en mi hospi:  Ayer la enfermera especialista del turno vespertino no me quiso entregar hasta que entrara el especialista de mi turno porque “sólo entre especialistas”  La morra tiene posttecnico…   
ira	q bronca despertarme antes de que suene la alarma   
tristeza	gente perdón x estar tan inactiva  pero cuentenme... que les regalaron???
alegría	Yo también quiero churritos con chocolate   
tristeza	Ya no hay buenos días Bart, solo días.   
no sabe	Desde hoy habrá que descontarle un minuto al día y agregarle un minuto a la noche.    
desagrado	Lo que celebra chile es el final de el sistema productivo! Típico de pronto lo empresas se unen y paran sería bueno si  
ira	Una quiere volver de la gira y q este su re amor en la cama y no ,lo único q hay es la pila de ropa que me probé antes de salir y la perra con el culo en la almohada  
no sabe	Segunda amanecida sin cabecear.... Ahora al rancho como papá noel   
desagrado	Madrugar no es lo mío. 
tristeza	Lo unico que quoero es estar bien 
sorpresa	Acabo de escuchar el petardazo en forma de trueno más fuerte de mi vida          vaya pepinazooooo
confianza	Vamos a por el carnet de moto 
tristeza	Q complicado es responderle a las antis en ingles           
tristeza	Necesito un regalo de última hora   
alegría	feliz cumple louis  ️  ️  ️  ️
sorpresa	Q son estas ganas de cortarme el pelo cortito otra vez?  
sorpresa	Fui a sacar efvo y solo tenían 2mil. El flaco me miró con cara de y si negri son las 7a.m.   
disgusto	Despierta desde las 5 de la mañana, gracias lluvia   
alegría	Por suerte ni me queme 
no sabe	Papo de R10   
no sabe	Michael hayup amina design  
no sabe	Mascara     ️
sorpresa	Leoescucho que Bordalas ha pedido fichajes, que se busca un central y un mediocentro, que no se descarta un delantero, que suena Godin, Gonzalo Villar, etc  Pero Héctor Gómez dice que es imposible fichar.   ¿No será otra mentira de Héctor para intoxicar verdad?      
no sabe	Tus perros ronquidos no me dejan dormir        
tristeza	puse la ss incorrecta   
anticipación	Artista = Art Insta ?      
no sabe	Lrt Fjfjfjfkfkfk     
alegría	Mi papá ya abrió el regalo que le di y le encanto     ️
no sabe	Oficialmente, los últimos entrenos del año se acaban hoy. A descansar hasta enero.   ️ 
alegría	Que lindo 24 veo venir adentro de fez con mí familia .  
alegría	HOY ME LEVANTÉ RE LOCA   
alegría	Aaaaaaaaaaaaaaaaaa qué lindo    ️
desagrado	"Es que qué es eso de ""las sobras"", como si el tiempo invertido en alguien no valiera nada si no es tu pareja, no sé, feísimo me parece "
no sabe	A media mañana reunión de comité. Envíen buena energía que se define el budget del año _    .
confianza	el dia q decore mi cuarto con cosas de mis favs no kiero q mi familia se quede a dormir ahi en serio duerman en la sala no me importa si vienen de visita solo no vengan mejor   nomas mi abuela y mis papas
confianza	Oigannn, nunca se crean el ya voy llegando y menos de mi  
desagrado	Pareces la policía Nacional Controlando quien te deja de Seguir O No. Aflojaaa   
no sabe	40 min esperando a vez na van   
alegría	Uy, ya tengo una novia     
desagrado	quiero dejar los lentes pero no puedo usar d contacto     
sorpresa	Estas re tranqui y de repente faltan DOS días para navidad
ira	Culia no se si vender la entrada de la gran navidad, o esperar para ver que onda o ke   
alegría	Enganchado de rock nacional para viajar en tren  
tristeza	El sorteo de la lotería de Navidad me pone melancólico   
no sabe	Esa es la que le cae   
tristeza	Levantarme de mal humor es lo peor que me puede pasar   
tristeza	Dia triste  
disgusto	nuria deja de tomar café  
alegría	¡NO ME LO CREO! ¡ME HA TOCADO! ¡ME HA TOCADO! ¡ME HA TOCADO LA SUERTE DE SER DEL VILLARREAL!   ¡COMPARTE EN TU MURO SI A TI TAMBIÉN!       
alegría	Hoy veo Spiderman 
confianza	Me dió nostalgia Ayer recordando con las muchachas lo felices que éramos en ese 2019 
no sabe	Los muchachos ya empezaron con la cantidad de casos nuevos,en breve van a pedir cuarentena obligatoria y renta básica,otra vez      
tristeza	no he ganado el gordo   
alegría	Adivinen quien cumple años el sábado?  
desagrado	Uhhh para que me acordé   
no sabe	yo    subir banda de escrachos a ig
no sabe	AHORA SÍ   
alegría	free visa to turkey   
no sabe	El 9 de enero SNK               
miedo	Bueno aparentemente en Córdoba no estaría habiendo ni una persona sin COVID.    
disgusto	"La comparación con el debate de la ley antitabaco, donde se justifica la sanidad universal gratuita porque es una adicción y, claro, tiene disculpa     No se trata de que sea una enfermedad ""justificada"", señora. Se trata de que se proporciona sanidad gratuita universal o no."
sorpresa	Me compre hace un tiempo atrás un perfume Channel en la Zofri, 89.990 me salió   .. Dije ctm la huea cara (pero no importa trabajo y me saco la cresta). Ayer fui al Mall en Chillán mismo perfume Channel pregunte valor y me dijo la niña:
tristeza	Y encima me van contando x ahí q eres buena novia    ️
no sabe	Oye una pregunta: ¿Cuantos de vosotr@s sois la segunda cuenta de otra principal que también me sigue? Es que siempre me ha intrigado eso.      
no sabe	Le diría para ir al cine y recomponer lo que pasó pero siempre su respuesta es no y que con otro la pasa mejor. Se olvida que todo empezó en el cine   
ira	Va ignorame, pero a ver quien te deja comer ensalada de manzana de sus chichis  
desagrado	ya empecé mal el día olvidándome los lentes de sol   
confianza	Mañana tengo el último examen de diciembre y estoy de blancazo, no retengo nada a parte de la parte práctica y me da realmente igual  
no sabe	Tener que bloquear la tarjeta de april solo por mi paz mental  
ira	    NO ME LO PUEDO CREER! ¡ME HA TOCADO! ¡ME HA TOCADO! ¡ME HA TOCADO LA DESGRACIA DE ESTUDIAR EN LA UNIVERSIDAD DE VALLADOLID! ¡COMPARTE EN TU MURO SI TÚ TAMBIÉN!
tristeza	Estoy a punto de colapsar   
sorpresa	Ciro ni me mira, anda loco   
tristeza	Quedan 3 dias para navidad  
sorpresa	¿Se fijaron; que ayer fue el último día 21, del año 21, del Siglo XXI?     
tristeza	Cuando me preguntan por qué no me quedo con cosas de accesorios, es porque no me dan tiempo a quedarme con algo    vuela to
disgusto	LA DOBLE MORAL  Todos defendiendo a Mark Anthony por su fama y demás pero si las muecas las hace el Tata, algún picotero o hasta el mismo Silvestre que un día por algo parecido le cayeron encima, todos estarían hablando buena monda. De burros y periqueros no nos iban a bajar.      
no sabe	Hoy en día existen muchas blockchain con estructuras diferentes, eso significa que les cuesta comunicarse una con otra.      Allí es donde entra Polkadot, uniendo a todas las cadenas y permitiendole al usuario moverse casi sin darse cuenta entre ellas.  (36)
desagrado	    NO ME LO CREO  ME HA TOCADO         _ME HA TOCADO LA SUERTE DE NO SER UN PUTO GABACHO  _
no sabe	Momentos en los que quiero saber coreano   
ira	No puedo dormir porque no puedo respirar    maldetaaaaaa gripe.
alegría	 Mami, ¿Jesusito tiene villano? Sí que tiene, sí. Pero no vamos a hablar de él todavía.    
desagrado	un nene peque de mi finca diciéndome que los reyes me iban a traer carbón... he estado a punto de contarle la verdad sobre esos reyes suyos 
desagrado	Para los que quieran colapsar trabajen en un call Center   al borde de la depresión y el máximo estres
confianza	Trabajando en los últimos pedidos antes de Navidad  Muchísimas Gracias por vuestra confianza a la hora de encargarme vuestros regalitos  Deseo os guste el resultado... y deseo que paséis una Felices Fiestas    Abrazos Gigantes   Terapias y Artesanía  Link in Bio
alegría	Estoy trabajando y no traje desayuno y nada más fue que dijera que tenía hambre para que me compraran de comer. Amo ser la consentida de la gente     ️
ira	Consejo del dia... Cierren el put... Ciclo... Y sean felices!    Con mucho amor les digo
desagrado	Que vayas al endocrino y,en los tiempos que estamos,te diga que no tomes proteínas, que son malas para el hígado y que tienes obesidad según el IMC...ese es el nivel   
desagrado	Y lo que más gracioso me parece es que en el trabajo parece que no se contagia (y eso que casi nadie teletrabaja ya, yo y dos más).       No sé Rick, pero ya no saben ni lo que hacen.
tristeza	Loco, puede ser que disney haga películas tan profundas? Me van a matarrrr     
desagrado	Otra vez el mismo sueño   
ira	Re caros están los juguetes   
no sabe	has lo q yo digo pero no lo q yo hago   
alegría	por otro lado jugar al tft me da ganas de vivir, estoy a 10 lp de orito   
no sabe	❗️ Existen cientos de pseudoterapias enfocadas a prevenir y tratar el cáncer. ¡Cuidado! Consulta siempre con el oncólogo.   Hablar de ellas es la mejor forma de conocerlas y poder evitarlas.
alegría	Que lindas fotos de perritos y gatitos en respuesta a Brownie    amo mucho
desagrado	LEESEO      
sorpresa	dios mío como voy a ser hija de una clasista 
alegría	TAEWOO va a debutar    no crei el rumor pero agradezco sea cierto,me gustaban los integrantea del grupo y el era muy lindo con los demas y gracioso   ️ estoy feliz
no sabe	He retomado el Witcher   
sorpresa	¡86.148! Ya tenemos el gordo      
desagrado	El PP apoyó ayer en el Senado, a las lenguas cooficiales en España. O sea, que apoya a los independentistas catalanes que no dejan hacer pipí a los niños si no hablan catalán y también a ETA  ¡Me quedo muerta!        
no sabe	Hice algo muy chilango en Quintana Roo; pregunte de qué eran las quesadillas del buffet 
alegría	 No me dejes    + No te dejaría por nada en el mundo     …   ️
alegría	Hoy comenzó muy bien el día   
no sabe	0 euritos en la loteria de navidad 
no sabe	Madre mía las farmacias en el centro de Madrid. Ponen carteles de NO HAY TEST. Han arrasado con ellos    Locura total.
alegría	Conoci el video de Tom Holland bailando umbrella   
tristeza	mis manos huelen a pezcado
no sabe	Otro año currando!!!   
no sabe	Estoy así   de hacer una cuca y una picada para mi familia
ira	ni nada .... Bien pues ahora mísmo mi hija tiene fiebre ... Y ahora que .... Pues a denunciar a estos médicos y enfermeras , que nos proporcionaron un trato malísimo y despectivo ....  Bueno este es SALUD NO RESPONDE y la gente que te atiende tampoco        
no sabe	Quero fita   
alegría	Empezamos bien el día   
disgusto	Necia la gente que quiere poner pura banda porque está hasta la Vrga cuando todos traen el perreo aún   
sorpresa	Tuve un sueño bn raro 
alegría	hoy tengo tareas de admin de gc omg omg    KEKW
desagrado	Bruno anoche buscando nombres de bebes que quedan bien con apellidos españoles osea el suyo    Sal de ahi Satanas 
ira	Que rabia, lo quiero solo para mi  
desagrado	No entiendo por qué hay personas que escriben mal su propio nombre   
alegría	Por fin se ha puesto Juanjo al día con One Piece y puedo comentarlo con él       ️  ️
tristeza	cada vez se hacen menos speech de año nuevo   _    ️
disgusto	Me enferma que sean tan irresponsables   
alegría	Not el baterista de cinema tocando la batería después de diez años para el día de hoy y tocando forever or never   
disgusto	Que fiebre tan malparidaaaa      
alegría	Que lindo sentirse de la familia en una que no es la tuya   
no sabe	Mañana ya es jueves   
sorpresa	Porque a tantos les molesta que Barracas Central allá clasificado a Primera? Si Boca tiene que jugar allá cuál es el problema?      
ira	QUE CALOR SORECHUCHADETUMADRE     
alegría	Que dicha    
no sabe	En esa realidad es paciero de Japa   
desagrado	Sí, te voy a responder el mensaje hombre que tiene como foto de perfil un ripio   ️ 
desagrado	Ay oye yo no me quiero ni peinar me siento tan comoda   ️(como una loquita)   además que si salgo por ley me tengo que bañar pq el COVID anda desatado   
desagrado	"*en LAS tiendas (no ""en más tiendas""   , corrector metido!)"
desagrado	La próxima vez, no voy a hablar de más..  
sorpresa	ON live : he estado jugando mucho al tablero de ajedrez. Por lo que mis dedos tienen esta forma.
no sabe	Reflexo      
desagrado	Cómo le digo que no le aguanto    sin decirle que no le aguanto  
desagrado	nomás se lo perdono a Yeonjun   
alegría	Que reto tan grande es guardar el secreto del sexo de mi sobrinit@ hasta el 1ro de enero   
alegría	Los cuellos de tortuga con el cabello como lo traigo se debe ver genial
confianza	La verdad yo estoy muy ocupada y el silencio de Kep1er pues no me importaba mucho pero creo q ya llega un punto en el q empezó a notar su ausencia pq hay 0 contenido. La verdad, ya es preocupante pq no mucha gente es capaz de esperar tanto  como digo yo voy a esperar paciente
disgusto	Al menos es curro para Lo Del Año Que Viene        PERO MUCHO CURRO      
alegría	Buennnn dia 
alegría	Hola amigos Buenos días cómo estás, bendiciones un abrazo  
ira	Una semana trabajando y ya no soporto a la gente, tan mal educada va a ser?. Y encima siempre el cliente tiene la razón   
sorpresa	Una semana para mi cumple   
desagrado	un dia me hace llorar y hoy estoy aqui en el sofa con el  
miedo	el doctor strange    yo verse todo el percal y no decir una sola palabra
alegría	la navidad  ️  ️  ️  ️  ️  ️    
alegría	Hoy será uno de esos días donde le llega a uno el regaño de navidad adelantado, jaja. Morning bitchs.   
no sabe	   Ojo si tenía previsto acudir a alguna actividad de Nadal en Ames, porque el incremento de contagios de covid obliga a hacer cambios en la programaciónhttps:www.cope.esn1692362
alegría	¡NO ME LO PUEDO CREER! ¡ME HA TOCADO! ¡ME HA TOCADO!   seguir siendo igual de sexy otro año más  
alegría	yo:  *fernandocosta sube vídeos con su yaya* yo:  ️  ️  ️
anticipación	Se puede tomar igual en el día que te vacunas?   
no sabe	El 148 era el teléfono (fijo, claro) de mi yaya. De cuando nos los sabíamos todos. El gordo me la ha traído 
